Listing,Price,Street,City,State,Zip
Icon Harbour Island,"$1,715 - $4,250",301 Harbour Place Dr, Tampa,FL,33602
M South,"$1,090 - $2,085",5110 S Manhattan Ave, Tampa,FL,33611
Parkers Landing by Cortland,"$1,225 - $3,500",6348 W Longboat Blvd, Tampa,FL,33615
The Fitzgerald,"$1,575 - $2,955",1211 E Kennedy Blvd, Tampa,FL,33602
Aurora,"$1,414 - $3,499",124 S Morgan St, Tampa,FL,33602
Novus Westshore,"$1,388 - $3,303",4310 W Spruce St, Tampa,FL,33607
Grady Square,"$1,299 - $2,890",2615 N Grady Ave, Tampa,FL,33607
Sabal Palm Apartments,"$866 - $1,598",3602 Carrollwood Pl, Tampa,FL,33624
The Addison At Tampa Oaks,"$1,120 - $1,995",13052 Tampa Oaks Blvd, Tampa,FL,33637
Varela Westshore Apartments,"$1,125 - $2,756",1701 N Lois Ave, Tampa,FL,33607
Century Falls,"$969 - $2,417",12011 Citrus Falls Cir, Tampa,FL,33625
Carlyle at Crosstown by Cortland,"$1,198 - $1,887",1820 Crosstown Club Pl, Tampa,FL,33619
Bowery Bayside by Cortland,"$1,061 - $1,883",6301 S Westshore Blvd, Tampa,FL,33616
NoHo Flats,"$1,313 - $2,666",401 N Rome Ave, Tampa,FL,33606
Island Walk by Cortland,"$1,077 - $1,870",5365 Harborside Dr, Tampa,FL,33615
Audubon Village by Cortland,"$964 - $1,507",5830 Memorial Hwy, Tampa,FL,33615
Marquis of Tampa,"$1,375 - $1,895",18002 Richmond Pl Dr, Tampa,FL,33647
The Grand Reserve at Tampa Palms,"$1,199 - $1,991",16616 Palm Royal Dr, Tampa,FL,33647
Links at Pebble Creek,"$1,126 - $1,471",18940 Pebble Links Cir, Tampa,FL,33647
Citrus Village,"$1,170 - $2,198",7940 Citrus Garden Dr, Tampa,FL,33625
Nine,"$1,558 - $3,080",901-915 N Franklin St, Tampa,FL,33602
Overlook at Crosstown Walk,"$1,319 - $2,063",10151 Iris Crosstown Dr, Tampa,FL,33619
The Lodge at Hidden River,"$1,265 - $1,685",14059 Riveredge Dr, Tampa,FL,33637
Crosstown Walk,"$1,216 - $2,053",10151 Iris Crosstown Dr, Tampa,FL,33619
Mabry Manor,"$725 - $1,345",4902 N Macdill Ave, Tampa,FL,33614
